date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:25:03	26561/26561	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/getting-started.html	D:/books/Materialize/materializecss.com/getting-started.html	(from )
07:25:04	16135/16135	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/	D:/books/Materialize/materializecss.com/index.html	(from )
07:25:04	28633/28633	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/color.html	D:/books/Materialize/materializecss.com/color.html	(from )
07:25:05	33916/33916	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/grid.html	D:/books/Materialize/materializecss.com/grid.html	(from )
07:25:06	19686/19686	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/helpers.html	D:/books/Materialize/materializecss.com/helpers.html	(from )
07:25:07	16401/16401	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/media-css.html	D:/books/Materialize/materializecss.com/media-css.html	(from )
07:25:08	14600/14600	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/shadow.html	D:/books/Materialize/materializecss.com/shadow.html	(from )
07:25:10	17378/17378	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/sass.html	D:/books/Materialize/materializecss.com/sass.html	(from )
07:25:10	16594/16594	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/typography.html	D:/books/Materialize/materializecss.com/typography.html	(from )
07:25:11	18450/18450	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/badges.html	D:/books/Materialize/materializecss.com/badges.html	(from )
07:25:13	22613/22613	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/buttons.html	D:/books/Materialize/materializecss.com/buttons.html	(from )
07:25:13	21800/21800	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/table.html	D:/books/Materialize/materializecss.com/table.html	(from )
07:25:14	13959/13959	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/breadcrumbs.html	D:/books/Materialize/materializecss.com/breadcrumbs.html	(from )
07:25:15	28336/28336	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/cards.html	D:/books/Materialize/materializecss.com/cards.html	(from )
07:25:16	18744/18744	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/chips.html	D:/books/Materialize/materializecss.com/chips.html	(from )
07:25:16	22572/22572	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/collections.html	D:/books/Materialize/materializecss.com/collections.html	(from )
07:25:17	16861/16861	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Aug%202016%2020:17:21%20GMT	http://materializecss.com/footer.html	D:/books/Materialize/materializecss.com/footer.html	(from )
